activity_date,address,apartment_type,balcony,bathroom,building_series,building_type,ceiling_height,ceiling_type,commission,complexName,description,distance,district,elevators,emergency,entrances,estimated_price,extractedAt,garbage_chute,gas_supply,has_air_conditioner,has_bathtub,has_dishwasher,has_internet,has_kitchen_furniture,has_refrigerator,has_room_furniture,has_shower_cabin,has_tv,has_washing_machine,heating,image_urls,is_unpublished,kitchen_area,layout,living_area,living_conditions,metro_station,negotiable,neighborhood,offer_id,offer_url,parking,prepayment,price_change_value,price_value,renovation,rental_period,room_area,room_count,rooms_for_rent,rooms_in_apartment,security_deposit,sleeping_places,status,title,today_views,total_area,total_views,unique_views,unpublished_date,updated_time,utilities_payment,view,year_built,url,floor,total_floors,previous_price_value
2025-04-21 21:32:00,"Хорошевское ш., 12к1",,,1 раздельный,Индивидуальный проект,Монолитный,3.0,Железобетонные,50.0,ЖК «Дом на Беговой»,"Сдается просторная двухкомнатная квартира на 8 этаже современного 37-этажного монолитного дома. Общая площадь — 65 кв. м, жилая — 40 кв. м. Кухня — 10 кв. м, потолки высотой 3 метра. Дом расположен в районе с отличной инфраструктурой, всего в 3 минутах пешком от станции метро Беговая.

Квартира после евроремонта, полностью меблирована. В наличии вся необходимая техника: холодильник и стиральная машина. Окна выходят на улицу, что обеспечивает хорошее естественное освещение. В квартире один санузел с ванной.

Дом построен в 2010 году, находится в отличном состоянии. В здании 4 пассажирских и 1 грузовой лифт, есть мусоропровод и пандус для удобства передвижения. Подземная парковка решает вопрос с местом для автомобиля.

Район отлично подходит для семей: рядом школы, детские сады, клиники и магазины. Всё необходимое для комфортной жизни — в шаговой доступности.

Условия аренды обсуждаются индивидуально. Возможна аренда по договору с залогом. Квартира доступна для заселения, без обременений. Рассматриваются арендаторы на длительный срок.

Приглашаем вас на просмотр квартиры! Записывайтесь и приходите оценить все преимущества этого предложения лично.",6.27,САО,"4 пассажирских, 1 грузовой",Нет,6.0,,2025-06-11 03:11:04,Да,,False,True,False,True,True,True,True,False,False,True,Центральное,,True,10.0,Изолированная,40.0,можно с детьми и животными,Беговая,,р-н Хорошевский,316596610,https://www.cian.ru/rent/flat/316596610/,Подземная,1.0,,90000,Евроремонт,от года,,2.0,,,90000.0,,non active,"2-комн. квартира, 65 м², 8/37 этаж",,65.0,481.0,263.0,2025-04-28 16:02:00,2025-04-21 21:32:00,включена (без счётчиков),На улицу,2010.0,,8.0,37.0,
2025-04-24 12:29:00,"3-я Рощинская ул., 5",,1 балкон,1 совмещенный,,,,Нет информации,50.0,,"Сдается на длитeльный сpок чистая и уютная 2-комнатная кваpтирa. Комнаты смeжныe. Отличное состояние.  Полноcтью укoмплектoванa cовpемeнной мeбeлью и бытoвой теxникoй. 
Отличнaя инфрacтруктуpa: детcкиe и cпoртивныe площадки, сeтeвые магaзины, торговые центры, медицинские центры, фитнес, детские сады и школы. Хорошая транспортная развязка.
Удобная локация в шаговой доступности две станции метро Тульская и Шабаловская или две остановки на трамвае, практически центр, так же рядом МЦД или 3 ост на трамвае , в шаговой доступности магазины, Даниловский рынок, Нескучный сад, парк Горького. Квартира готова к заселению.",5.24,ЮАО,1 пассажирский,Нет,1.0,84000.0,2025-06-11 03:08:43,,Центральное,False,True,False,True,True,True,True,False,True,True,Центральное,,True,7.0,Смежная,24.0,можно с детьми,Тульская,,р-н Даниловский,316716875,https://www.cian.ru/rent/flat/316716875/,Наземная,1.0,,70000,Евроремонт,от года,,2.0,,,70000.0,,non active,"2-комн. квартира, 40 м², 5/9 этаж",6.0,40.0,119.0,91.0,2025-05-19 12:51:00,2025-04-24 12:29:00,включена (без счётчиков),Во двор,1963.0,,5.0,9.0,
2025-04-18 08:03:00,"ул. Бурденко, 11АС2",,1 балкон,1 совмещенный,Индивидуальный проект,Кирпичный,,Железобетонные,70.0,,"Квартира в одном из самых престижных районов столицы - Хамовники, на улице Бурденко, дом 11А, строение 2 м на 4м этаже кирпичного дома. В доме выполнен капремонт. Чистый подъезд без запахов. Двор тихий и спокойный, Уникальная локация, исторически сложившаяся культурная, образовательная, социальная инфраструктура. Для прогулок детей и взрослых. Парк Горького, Парк-Усадьба Трубецких, набережная Москвы-реки, Новодевичий монастырь, Усадьба Трубецких, парк Новодевичьи Пруды, сквер Девичьего поля, парк Лужники. В пешей доступности банки, кофе, рестораны, сетевые супермаркеты, Без детей и животных. Звоните с 9:00 - 21:00",0.97,ЦАО,,Нет,3.0,,2025-06-11 03:23:25,,Центральное,False,True,False,False,True,True,True,False,True,True,Центральное,,True,4.0,,18.6,,Парк Культуры,,р-н Хамовники,315940995,https://www.cian.ru/rent/flat/315940995/,,1.0,,55000,Евроремонт,от года,,1.0,,,60000.0,,non active,"1-комн. квартира, 32 м², 4/5 этаж",,32.0,896.0,666.0,2025-04-20 18:31:00,2025-04-18 08:03:00,включена (без счётчиков),Во двор,1959.0,,4.0,5.0,
2025-06-14 03:40:00,"ул. Стасовой, 14",,1 балкон,1 совмещенный,II-18,Блочный,2.7,Железобетонные,60.0,,"Арт. 30583788 Небольшая, но очень уютная квартира с потрясающими видами на Донской монастырь. Полы ламинатат, ПВХ. Комнаты смежные. Минимум современной мебели: кухонный гарнитур, диван, зеркальный шкаф-купе. Маленькая комната без мебели (есть стеллаж и рабочий стол). Необходимая бытовая техника. Балкон не застеклен. У дома сквер для прогулок и 10 минут пешком к Нескучному саду. Без детей и без животных.",4.12,ЮАО,1 пассажирский,Нет,1.0,74000.0,2025-06-11 02:26:22,,Центральное,False,False,False,True,True,True,True,False,False,True,Центральное,"https://images.cdn-cian.ru/images/2518467389-1.jpg,https://images.cdn-cian.ru/images/2518592253-1.jpg,https://images.cdn-cian.ru/images/2518467408-1.jpg,https://images.cdn-cian.ru/images/2518467436-1.jpg,https://images.cdn-cian.ru/images/2518467456-1.jpg,https://images.cdn-cian.ru/images/2518467469-1.jpg,https://images.cdn-cian.ru/images/2518467499-1.jpg,https://images.cdn-cian.ru/images/2518467525-1.jpg,https://images.cdn-cian.ru/images/2518467551-1.jpg,https://images.cdn-cian.ru/images/2518467586-1.jpg,https://images.cdn-cian.ru/images/2518467611-1.jpg,https://images.cdn-cian.ru/images/2518467638-1.jpg,https://images.cdn-cian.ru/images/2518467658-1.jpg,https://images.cdn-cian.ru/images/2518467676-1.jpg,https://images.cdn-cian.ru/images/2518467695-1.jpg,https://images.cdn-cian.ru/images/2518467705-1.jpg,https://images.cdn-cian.ru/images/2518467729-1.jpg,https://images.cdn-cian.ru/images/2518467745-1.jpg,https://images.cdn-cian.ru/images/2518467782-1.jpg,https://images.cdn-cian.ru/images/2518467797-1.jpg,https://images.cdn-cian.ru/images/2518467818-1.jpg,https://images.cdn-cian.ru/images/2518467838-1.jpg,https://images.cdn-cian.ru/images/2518467857-1.jpg,https://images.cdn-cian.ru/images/2518467872-1.jpg,https://images.cdn-cian.ru/images/2518467896-1.jpg",False,9.0,Смежная,23.0,,Ленинский проспект,,р-н Донской,318566123,https://www.cian.ru/rent/flat/318566123/,Открытая,1.0,,75000,Косметический,от года,,2.0,,,75000.0,,active,"2-комн. квартира, 40 м², 8/9 этаж",83.0,40.0,117.0,105.0,,2025-06-09 18:06:00,включена (без счётчиков),На улицу,1964.0,,8.0,9.0,
2025-05-29 19:03:00,"ул. Пырьева, 26К2",,,1 совмещенный,ii-68,Панельный,2.7,Железобетонные,0.0,,"Сдам уютную, светлую 1-комнатную квартиру в отличном районе с прекрасным видом.Квартира полностью меблирована, кухня оборудована всей необходимой техникой. Имеется холодильник, микроволновая печь, духовой шкаф, газовая плита, вытяжка, чайник.В комнате телевизор, вместительный шкаф.Большая лоджия с прекрасным видом на достопримечательности города.Остановка общественного транспорта в 1 мин от дома.В пешей доступности от дома расположены: -детский сад-школы-магазины-аптеки-салоны красоты-кафе и рестораны-больницы

Показы по договоренности, звоните!",3.68,ЗАО,"1 пассажирский, 1 грузовой",Нет,1.0,,2025-06-11 02:40:04,,,True,True,False,True,True,True,True,False,True,True,Центральное,,True,10.0,,20.0,можно с детьми и животными,Поклонная,,р-н Раменки,318045142,https://www.cian.ru/rent/flat/318045142/,Наземная,1.0,,44999,Косметический,от года,,1.0,,,45000.0,,non active,"1-комн. квартира, 35 м², 14/16 этаж",252.0,35.0,509.0,,2025-05-30 21:18:00,2025-05-29 19:03:00,включена (без счётчиков),На улицу и двор,1994.0,,14.0,16.0,
2025-06-11 09:22:00,"2-й Мосфильмовский пер., 4",,1 балкон,1 раздельный,Индивидуальный проект,Кирпичный,,Железобетонные,80.0,,"Квартира
 без ремонта, Без мебели комнаты(есть 2 шкафа),набор кухни,стир.машина(Нет-холодильника),балкон не застеклен.На длительный срок сдается.Дополнительные платежи (счетчики на воду, электричество,интернет).",4.03,ЗАО,,Нет,3.0,59000.0,2025-06-11 03:53:16,,Центральное,False,True,False,True,True,False,False,False,False,True,Центральное,"https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413295-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413408-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413228-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413383-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413239-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413351-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516416799-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413354-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2520614385-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413379-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516416628-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413414-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413356-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413299-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516413302-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-2y-mosfilmovskiy-pereulok-2516416766-1.jpg",False,6.0,Изолированная,26.7,можно с детьми и животными,Киевская,,р-н Раменки,247921635,https://www.cian.ru/rent/flat/247921635/,,1.0,-2000.0,52000,Без ремонта,от года,,2.0,,,52000.0,,active,"2-комн. квартира, 41,7 м², 4/5 этаж",4.0,41.7,468.0,173.0,,2025-06-09 14:18:00,включена (без счётчиков),Во двор,1963.0,,,,54000.0
2025-04-27 03:15:00,"Смоленская-Сенная пл., 23/25",,1 балкон,,Индивидуальный проект,Кирпичный,3.2,Железобетонные,0.0,,"Сдаётся в аренду стильная светлая двухкомнатная квартира в историческом центре
Москвы с ремонтом и современной мебелью. В квартире есть всё необходимое для комфортной жизни. Ремонт был произведен с использованием качественных материалов.
Из бытовой техники есть посудомоечная машина, холодильник,стиральная машина, высокоскоростной интернет.
Квартира распашного типа, а значит - легко проветривается, окна балкона выходят в тихий зеленый уютный дворик.
Дом, несмотря на его почтенный возраст, находится в прекрасном, ухоженном состоянии, с наземной парковкой, где всегда есть места - а это большая редкость для центра Москвы..
Инфраструктура района не нуждается в описании - здесь есть всё. Квартира находится в 6 минутах ходьбы от метро Смоленская, что позволит быстро добраться в любую часть города. Несколько минут до Смоленской набережной, откуда открываются прекрасные виды на Москва-реку, Бородинский мост. Там же есть смотровая площадка, с неё особенно интересно обозревать город в вечернее время суток.
Квартира идеально подойдёт для проживания одного человека или пары.
Рассмотрим к проживанию порядочных, ответственных и платежеспособных арендаторов.
на все интересующие вопросы,отвечаю по телефону!",1.42,ЦАО,1 пассажирский,Нет,6.0,,2025-06-11 03:06:18,,,False,True,True,True,True,True,True,False,False,True,Центральное,,True,23.7,,30.1,можно с детьми и животными,Смоленская,,р-н Хамовники,316832582,https://www.cian.ru/rent/flat/316832582/,Наземная,2.0,,110000,Дизайнерский,несколько месяцев,,2.0,,,50000.0,,non active,"2-комн. квартира, 58,5 м², 8/8 этаж",,58.5,326.0,109.0,2025-04-28 08:28:00,2025-04-27 03:15:00,включена (счётчики включены),Во двор,1956.0,,8.0,8.0,
2025-04-02 22:46:00,"Расторгуевский пер., 4С3",,,"1 совмещенный, 1 раздельный",Индивидуальный проект,Кирпичный,,Железобетонные,50.0,,"Сдаётся на длительный срок трёхкомнатная квартира. Распашонка. Полный комплект мебели и бытовой техники. Рассмотрим всех приличных , платежеспособных граждан. Хороший , доброжелательный собственник. Фото соответствует. Показ в любое время по договорённости. Звоните.",4.1,ЦАО,,Нет,2.0,,2025-06-11 03:46:27,,Центральное,True,True,True,True,True,True,True,True,True,True,Центральное,,True,8.0,,52.0,можно с детьми и животными,Улица 1905 года,,р-н Пресненский,296405808,https://www.cian.ru/rent/flat/296405808/,Наземная,1.0,,100000,Евроремонт,от года,,3.0,,,100000.0,,non active,"3-комн. квартира, 80 м², 3/3 этаж",,80.0,,,2025-04-09 17:17:00,2025-04-02 22:46:00,включена (счётчики включены),Во двор,1956.0,,3.0,3.0,
2025-06-11 10:30:00,"ул. Пресненский Вал, 19",,1 балкон,1 совмещенный,Индивидуальный проект,Монолитный,,Железобетонные,50.0,,"В квартире выполнен косметический ремонт, все комнаты светлые и просторные. Большая кухня площадью 10 кв.м оснащена необходимой техникой: холодильником и стиральной машиной. Из окон открывается вид во двор, что обеспечивает тишину и комфорт. В квартире есть один санузел с ванной, а также балкон, где можно наслаждаться свежим воздухом.
Дом оборудован всем необходимым для комфортного проживания: два пассажирских и один грузовой лифт, а также пандус для удобства перемещения. На территории дома предусмотрена наземная парковка.
В шаговой доступности находятся школы, детские сады и разнообразные магазины, что особенно удобно для семей с детьми. Отличное транспортное сообщение позволяет быстро добраться до любой точки города.
Записывайтесь на просмотр, чтобы лично оценить все преимущества этого предложения! Мы будем рады ответить на все ваши вопросы и организовать показ в удобное для вас время.",4.92,ЦАО,"2 пассажирских, 1 грузовой",Нет,,90000.0,2025-06-11 02:59:52,,,False,True,False,True,True,True,False,False,False,True,Нет информации,"https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374169-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374175-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374174-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374173-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476369879-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374109-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374126-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476369908-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476369877-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476369907-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476369901-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476369905-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374113-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476369903-1.jpg,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-presnenskiy-val-2476374120-1.jpg",False,10.0,Изолированная,34.0,можно с детьми,Улица 1905 года,,р-н Пресненский,317085960,https://www.cian.ru/rent/flat/317085960/,Наземная,1.0,,100000,Косметический,от года,,2.0,,,50000.0,,active,"2-комн. квартира, 59 м², 17/31 этаж",22.0,59.0,571.0,410.0,,2025-05-24 12:36:00,включена (без счётчиков),Во двор,2023.0,,17.0,31.0,
2025-05-29 22:47:00,"Большой Тишинский пер., 12",,,1 совмещенный,Индивидуальный проект,Кирпичный,,Железобетонные,0.0,,"При записи на показ мы дополнительно отправим вам 3D-тур, который позволит виртуально пройтись по квартире, детально изучить её и понять планировку. Это удобный способ заранее ознакомиться со всеми особенностями жилья. 
Сдаётся 1-комнатная квартира площадью 42 кв.м. с евроремонтом на 6 этаже в 9-этажном доме. Из техники есть:
 Телевизор
 Стиральная машина
 Холодильник
 Посудомоечная машина
 Кондиционер
 Микроволновка
 Пылесос
 
 На кухне установлен новый  фильтр для воды. Дом - кирпичный, окна выходят на улицу. В подъезде 2 лифта - 1 грузовой и 1 пассажирский. Во дворе есть бесплатная парковка.
 
Коммунальные услуги по счетчикам оплачиваются дополнительно.

 Мы проверили документы на квартиру и самостоятельно сделали фотографии и 3D-тур. 
 Без комиссии агенту: цена в объявлении окончательная. 
 За эту квартиру можно платить даже кредитной картой и получать кэшбэк от банка.",4.4,ЦАО,"1 пассажирский, 1 грузовой",Нет,2.0,,2025-06-11 02:52:03,,Центральное,True,False,True,False,False,True,False,False,True,True,Центральное,"https://images.cdn-cian.ru/images/2509511439-1.jpg,https://images.cdn-cian.ru/images/2509511441-1.jpg,https://images.cdn-cian.ru/images/2509511445-1.jpg,https://images.cdn-cian.ru/images/2509511448-1.jpg,https://images.cdn-cian.ru/images/2509511449-1.jpg,https://images.cdn-cian.ru/images/2509511453-1.jpg,https://images.cdn-cian.ru/images/2509511457-1.jpg,https://images.cdn-cian.ru/images/2509511465-1.jpg,https://images.cdn-cian.ru/images/2509511466-1.jpg,https://images.cdn-cian.ru/images/2509511471-1.jpg,https://images.cdn-cian.ru/images/2509511474-1.jpg,https://images.cdn-cian.ru/images/2509511479-1.jpg,https://images.cdn-cian.ru/images/2509511483-1.jpg,https://images.cdn-cian.ru/images/2509511485-1.jpg,https://images.cdn-cian.ru/images/2509511491-1.jpg,https://images.cdn-cian.ru/images/2509511493-1.jpg,https://images.cdn-cian.ru/images/2509511496-1.jpg,https://images.cdn-cian.ru/images/2509511499-1.jpg,https://images.cdn-cian.ru/images/2509511502-1.jpg,https://images.cdn-cian.ru/images/2509511514-1.jpg,https://images.cdn-cian.ru/images/2509511521-1.jpg",True,,,,можно с детьми,Краснопресненская,,р-н Пресненский,317664796,https://www.cian.ru/rent/flat/317664796/,Открытая,1.0,-6500.0,82000,Евроремонт,от года,,1.0,,,0.0,,inactive,"1-комн. квартира, 42 м², 6/9 этаж",22.0,42.0,696.0,410.0,2025-06-11 06:03:00,2025-05-29 22:47:00,включена (без счётчиков),На улицу,1978.0,,6.0,9.0,88500.0
